Date,Open,High,Low,Close,Stock,putIV,dt
2020-12-16,73.45,75.68,72.82,74.52,SAGE,0.6875031250000001,
2020-12-17,75.59,76.78,74.09,76.63,SAGE,0.6875031250000001,
2020-12-18,76.97,81.93,76.91,81.79,SAGE,0.6875031250000001,
2020-12-21,80.65,84.81,80.25,84.0,SAGE,0.6875031250000001,
2020-12-22,84.0,88.0,83.79,87.81,SAGE,0.6875031250000001,
2020-12-23,87.8,89.15,85.81,88.68,SAGE,0.6875031250000001,
2020-12-07,112.55,164.64,109.52,160.7,ETSY,0.5437057348632813,
2020-12-08,158.85,167.92,156.8,163.97,ETSY,0.5437057348632813,
2020-12-09,165.94,167.52,157.64,159.23,ETSY,0.5437057348632813,
2020-12-10,157.3,167.62,157.0,165.3,ETSY,0.5437057348632813,
2020-12-11,166.08,171.66,165.72,170.02,ETSY,0.5437057348632813,
2020-12-14,172.25,176.48,169.66,169.97,ETSY,0.5437057348632813,
2020-12-15,172.0,179.93,170.51,177.8,ETSY,0.5437057348632813,
2020-12-16,173.69,182.78,171.34,182.34,ETSY,0.5437057348632813,
2020-12-17,184.32,192.09,183.33,188.1,ETSY,0.5437057348632813,
2020-12-18,190.59,191.73,184.69,190.76,ETSY,0.5437057348632813,
2020-12-21,189.16,193.0,184.55,189.2,ETSY,0.5437057348632813,
2020-12-22,191.11,198.5,190.44,197.38,ETSY,0.5437057348632813,
2020-12-23,196.9,197.16,190.03,190.17,ETSY,0.5437057348632813,
2020-12-07,314.02,509.45,314.02,508.68,LRCX,0.42731285583496104,
2020-12-08,505.62,516.65,505.35,511.66,LRCX,0.42731285583496104,
2020-12-09,509.04,514.68,489.72,493.83,LRCX,0.42731285583496104,
2020-12-10,489.95,496.2,484.8,490.15,LRCX,0.42731285583496104,
2020-12-11,488.47,494.28,483.73,491.7,LRCX,0.42731285583496104,
2020-12-14,495.69,500.98,490.18,491.87,LRCX,0.42731285583496104,
2020-12-15,500.0,503.25,492.67,495.33,LRCX,0.42731285583496104,
2020-12-16,496.01,496.48,489.28,493.31,LRCX,0.42731285583496104,
2020-12-17,489.64,491.88,482.86,486.24,LRCX,0.42731285583496104,
2020-12-18,484.24,485.71,477.7,480.97,LRCX,0.42731285583496104,
2020-12-21,469.12,484.71,468.74,483.23,LRCX,0.42731285583496104,
2020-12-22,479.43,481.74,473.4,476.95,LRCX,0.42731285583496104,
2020-12-23,479.62,480.79,470.91,471.13,LRCX,0.42731285583496104,
2020-12-07,38.86,82.52,38.11,81.96,NET,0.6237830590820312,
2020-12-08,82.16,84.36,80.9,83.55,NET,0.6237830590820312,
2020-12-09,82.01,82.36,75.73,77.31,NET,0.6237830590820312,
2020-12-10,77.0,86.21,76.37,84.05,NET,0.6237830590820312,
2020-12-11,83.42,83.42,78.81,82.41,NET,0.6237830590820312,
2020-12-14,83.26,84.2,80.97,81.43,NET,0.6237830590820312,
2020-12-15,81.89,83.37,80.42,81.46,NET,0.6237830590820312,
2020-12-16,82.0,82.0,79.68,81.81,NET,0.6237830590820312,
2020-12-17,82.15,82.49,79.61,81.82,NET,0.6237830590820312,
2020-12-18,82.0,84.2,81.05,83.81,NET,0.6237830590820312,
2020-12-21,85.33,87.2,82.96,86.21,NET,0.6237830590820312,
2020-12-22,87.0,88.77,84.44,86.56,NET,0.6237830590820312,
2020-12-23,86.55,86.55,81.25,81.9,NET,0.6237830590820312,
2020-12-07,24.6,44.15,24.09,43.84,WORK,0.5190477783203125,
2020-12-08,42.94,43.1,42.8,43.03,WORK,0.5190477783203125,
2020-12-09,43.05,43.11,42.05,42.09,WORK,0.5190477783203125,
2020-12-10,42.19,42.63,42.13,42.32,WORK,0.5190477783203125,
2020-12-11,42.35,42.41,42.1,42.24,WORK,0.5190477783203125,
2020-12-14,42.33,42.44,42.17,42.26,WORK,0.5190477783203125,
2020-12-15,42.3,42.31,41.96,42.08,WORK,0.5190477783203125,
2020-12-16,42.1,42.68,42.08,42.61,WORK,0.5190477783203125,
2020-12-17,42.65,42.91,42.43,42.54,WORK,0.5190477783203125,
2020-12-18,42.66,42.91,42.52,42.79,WORK,0.5190477783203125,
2020-12-21,42.52,42.8,42.44,42.57,WORK,0.5190477783203125,
2020-12-22,42.57,43.01,42.57,42.88,WORK,0.5190477783203125,
2020-12-23,42.95,43.04,42.55,42.56,WORK,0.5190477783203125,
2020-12-07,470.53,572.49,463.41,554.09,NFLX,0.465398412475586,
2020-12-08,517.9,521.49,505.55,512.66,NFLX,0.465398412475586,
2020-12-09,510.53,514.5,491.29,493.6,NFLX,0.465398412475586,
2020-12-10,494.56,503.77,492.91,501.09,NFLX,0.465398412475586,
2020-12-11,495.0,503.34,494.85,503.22,NFLX,0.465398412475586,
2020-12-14,505.44,524.16,501.18,522.42,NFLX,0.465398412475586,
2020-12-15,518.5,524.7,513.56,519.78,NFLX,0.465398412475586,
2020-12-16,520.11,527.38,517.69,524.83,NFLX,0.465398412475586,
2020-12-17,529.0,535.49,526.44,532.9,NFLX,0.465398412475586,
2020-12-18,533.2,536.37,526.02,534.45,NFLX,0.465398412475586,
2020-12-21,530.05,532.62,521.15,528.91,NFLX,0.465398412475586,
2020-12-22,527.69,530.4,520.5,527.33,NFLX,0.465398412475586,
2020-12-23,524.76,525.95,514.23,514.48,NFLX,0.465398412475586,
2020-12-07,89.17,128.12,88.48,128.02,MTB,0.0,
2020-12-08,125.44,128.29,124.52,126.15,MTB,0.0,
2020-12-09,127.69,129.97,126.61,128.14,MTB,0.0,
2020-12-10,126.4,128.9,126.02,127.98,MTB,0.0,
2020-12-11,125.78,127.21,124.44,125.84,MTB,0.0,
2020-12-14,128.42,128.49,123.83,124.76,MTB,0.0,
2020-12-15,126.41,127.16,124.14,126.66,MTB,0.0,
2020-12-16,126.81,127.25,124.49,126.99,MTB,0.0,
2020-12-17,126.62,127.5,124.59,125.83,MTB,0.0,
2020-12-18,125.93,126.45,122.59,123.73,MTB,0.0,
2020-12-21,123.22,124.33,119.89,124.04,MTB,0.0,
2020-12-22,124.22,124.8,121.06,121.14,MTB,0.0,
2020-12-23,122.14,125.89,122.14,125.61,MTB,0.0,
2020-12-07,35.57,64.19,34.9,63.78,DKNG,0.6584506811523438,
2020-12-08,47.49,50.9,45.71,50.85,DKNG,0.6584506811523438,
2020-12-09,50.1,53.44,48.33,48.94,DKNG,0.6584506811523438,
2020-12-10,48.33,50.17,47.78,50.11,DKNG,0.6584506811523438,
2020-12-11,49.97,51.3,48.94,50.09,DKNG,0.6584506811523438,
2020-12-14,50.98,51.54,49.77,50.58,DKNG,0.6584506811523438,
2020-12-15,51.15,51.18,49.81,50.5,DKNG,0.6584506811523438,
2020-12-16,50.82,54.34,50.13,53.8,DKNG,0.6584506811523438,
2020-12-17,53.97,55.47,52.8,55.2,DKNG,0.6584506811523438,
2020-12-18,55.17,55.98,52.13,53.9,DKNG,0.6584506811523438,
2020-12-21,51.95,54.24,51.8,53.34,DKNG,0.6584506811523438,
2020-12-22,53.85,54.4,50.88,52.4,DKNG,0.6584506811523438,
2020-12-23,52.58,54.73,51.41,53.89,DKNG,0.6584506811523438,
2020-12-07,692.9,839.77,686.77,835.0,EQIX,0.2954324607849121,
2020-12-08,705.0,706.41,692.13,695.28,EQIX,0.2954324607849121,
2020-12-09,702.91,703.89,675.84,678.4,EQIX,0.2954324607849121,
2020-12-10,676.03,689.25,676.03,686.99,EQIX,0.2954324607849121,
2020-12-11,685.46,689.7,671.9,688.86,EQIX,0.2954324607849121,
2020-12-14,688.98,699.75,687.0,690.03,EQIX,0.2954324607849121,
2020-12-15,696.52,698.29,687.45,695.64,EQIX,0.2954324607849121,
2020-12-16,699.49,702.52,686.93,690.19,EQIX,0.2954324607849121,
2020-12-17,696.37,717.73,695.82,712.74,EQIX,0.2954324607849121,
2020-12-18,713.8,713.8,704.13,709.73,EQIX,0.2954324607849121,
2020-12-21,701.33,706.39,697.08,704.4,EQIX,0.2954324607849121,
2020-12-22,700.0,714.09,698.08,713.44,EQIX,0.2954324607849121,
2020-12-23,714.92,719.24,703.08,703.08,EQIX,0.2954324607849121,
2020-12-07,9.08,18.5,9.01,18.43,EB,0.6450230810546875,
2020-12-08,18.43,18.99,18.4,18.65,EB,0.6450230810546875,
2020-12-09,18.6,18.9,17.52,18.08,EB,0.6450230810546875,
2020-12-10,17.84,18.32,17.68,18.27,EB,0.6450230810546875,
2020-12-11,17.93,17.93,17.32,17.61,EB,0.6450230810546875,
2020-12-14,18.02,18.36,17.86,18.14,EB,0.6450230810546875,
2020-12-15,18.49,19.0,18.16,18.71,EB,0.6450230810546875,
2020-12-16,18.91,19.03,18.52,18.65,EB,0.6450230810546875,
2020-12-17,18.72,18.87,18.52,18.54,EB,0.6450230810546875,
